-1	-0.5	-0.95   1
-1	-0.5	-0.85   1
-1	-0.5	-0.75   1
-1	-0.5	-0.65   1
-1	-0.5	-0.55   1
-1	-0.5	-0.45   1
-1	-0.5	-0.35   1
-1	-0.5	-0.25   1
-1	-0.5	-0.15   1
-1	-0.5	-0.05   1
-1	-0.5	0.0500001   1
-1	-0.5	0.15    1
-1	-0.5	0.25    1
-1	-0.5	0.35    1
-1	-0.5	0.45    1
-1	-0.5	0.55    1
-1	-0.5	0.65    1
-1	-0.5	0.75    1
-1	-0.5	0.85    1
-1	-0.5	0.95    1
1	-0.5	-0.95    1
1	-0.5	-0.85    1
1	-0.5	-0.75    1
1	-0.5	-0.65    1
1	-0.5	-0.55    1
1	-0.5	-0.45    1
1	-0.5	-0.35    1
1	-0.5	-0.25    1
1	-0.5	-0.15    1
1	-0.5	-0.05    1
1	-0.5	0.0500001    1
1	-0.5	0.15 1
1	-0.5	0.25 1
1	-0.5	0.35 1
1	-0.5	0.45 1
1	-0.5	0.55 1
1	-0.5	0.65 1
1	-0.5	0.75 1
1	-0.5	0.85 1
1	-0.5	0.95 1
1	0.5	-0.95 1
1	0.5	-0.85 1
1	0.5	-0.75 1
1	0.5	-0.65 1
1	0.5	-0.55 1
1	0.5	-0.45 1
1	0.5	-0.35 1
1	0.5	-0.25 1
1	0.5	-0.15 1
1	0.5	-0.05 1
1	0.5	0.0500001 1
1	0.5	0.15  1
1	0.5	0.25  1
1	0.5	0.35  1
1	0.5	0.45  1
1	0.5	0.55  1
1	0.5	0.65  1
1	0.5	0.75  1
1	0.5	0.85  1
1	0.5	0.95  1
-1	0.5	-0.95    1
-1	0.5	-0.85    1
-1	0.5	-0.75    1
-1	0.5	-0.65    1
-1	0.5	-0.55    1
-1	0.5	-0.45    1
-1	0.5	-0.35    1
-1	0.5	-0.25    1
-1	0.5	-0.15    1
-1	0.5	-0.05    1
-1	0.5	0.0500001    1
-1	0.5	0.15 1
-1	0.5	0.25 1
-1	0.5	0.35 1
-1	0.5	0.45 1
-1	0.5	0.55 1
-1	0.5	0.65 1
-1	0.5	0.75 1
-1	0.5	0.85 1
-1	0.5	0.95 1
-0.95	-0.5	-1   1
-0.85	-0.5	-1   1
-0.75	-0.5	-1   1
-0.65	-0.5	-1   1
-0.55	-0.5	-1   1
-0.45	-0.5	-1   1
-0.35	-0.5	-1   1
-0.25	-0.5	-1   1
-0.15	-0.5	-1   1
-0.05	-0.5	-1   1
0.0500001	-0.5	-1   1
0.15	-0.5	-1    1
0.25	-0.5	-1    1
0.35	-0.5	-1    1
0.45	-0.5	-1    1
0.55	-0.5	-1    1
0.65	-0.5	-1    1
0.75	-0.5	-1    1
0.85	-0.5	-1    1
0.95	-0.5	-1    1
1	-0.45	-1  1
1	-0.35	-1  1
1	-0.25	-1  1
1	-0.15	-1  1
1	-0.05	-1  1
1	0.05	-1   1
1	0.15	-1   1
1	0.25	-1   1
1	0.35	-1   1
1	0.45	-1   1
0.95	0.5	-1 1
0.85	0.5	-1 1
0.75	0.5	-1 1
0.65	0.5	-1 1
0.55	0.5	-1 1
0.45	0.5	-1 1
0.35	0.5	-1 1
0.25	0.5	-1 1
0.15	0.5	-1 1
0.05	0.5	-1 1
-0.0500001	0.5	-1   1
-0.15	0.5	-1    1
-0.25	0.5	-1    1
-0.35	0.5	-1    1
-0.45	0.5	-1    1
-0.55	0.5	-1    1
-0.65	0.5	-1    1
-0.75	0.5	-1    1
-0.85	0.5	-1    1
-0.95	0.5	-1    1
-1	0.45	-1  1
-1	0.35	-1  1
-1	0.25	-1  1
-1	0.15	-1  1
-1	0.05	-1  1
-1	-0.05	-1 1
-1	-0.15	-1 1
-1	-0.25	-1 1
-1	-0.35	-1 1
-1	-0.45	-1 1
-0.95	-0.5	1    1
-0.85	-0.5	1    1
-0.75	-0.5	1    1
-0.65	-0.5	1    1
-0.55	-0.5	1    1
-0.45	-0.5	1    1
-0.35	-0.5	1    1
-0.25	-0.5	1    1
-0.15	-0.5	1    1
-0.05	-0.5	1    1
0.0500001	-0.5	1    1
0.15	-0.5	1 1
0.25	-0.5	1 1
0.35	-0.5	1 1
0.45	-0.5	1 1
0.55	-0.5	1 1
0.65	-0.5	1 1
0.75	-0.5	1 1
0.85	-0.5	1 1
0.95	-0.5	1 1
1	-0.45	1   1
1	-0.35	1   1
1	-0.25	1   1
1	-0.15	1   1
1	-0.05	1   1
1	0.05	1    1
1	0.15	1    1
1	0.25	1    1
1	0.35	1    1
1	0.45	1    1
0.95	0.5	1  1
0.85	0.5	1  1
0.75	0.5	1  1
0.65	0.5	1  1
0.55	0.5	1  1
0.45	0.5	1  1
0.35	0.5	1  1
0.25	0.5	1  1
0.15	0.5	1  1
0.05	0.5	1  1
-0.0500001	0.5	1    1
-0.15	0.5	1 1
-0.25	0.5	1 1
-0.35	0.5	1 1
-0.45	0.5	1 1
-0.55	0.5	1 1
-0.65	0.5	1 1
-0.75	0.5	1 1
-0.85	0.5	1 1
-0.95	0.5	1 1
-1	0.45	1   1
-1	0.35	1   1
-1	0.25	1   1
-1	0.15	1   1
-1	0.05	1   1
-1	-0.05	1  1
-1	-0.15	1  1
-1	-0.25	1  1
-1	-0.35	1  1
-1	-0.45	1  1
